Disease,Number,Sponsor,Phase,Study Type,URL
Uveal Melanoma,NCT02570308,Immunocore Ltd,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02570308
Alveolar Soft Part Sarcoma,NCT02636725,"Jonathan Trent, MD, PhD",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02636725
Thymoma,NCT02633553,Fudan University,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02633553
Mesothelioma,NCT02838745,Baylor College of Medicine,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02838745
Cholangiocarcinoma,NCT00869635,Asan Medical Center,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00869635
Kidney Cancer,NCT00866320,Case Comprehensive Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00866320
Thymic Carcinoma,NCT04469725,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04469725
Uveal Melanoma,NCT04463368,"Sahlgrenska University Hospital, Sweden",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04463368
Mucosal Melanoma,NCT04462965,Beijing Cancer Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04462965
Mesothelioma,NCT00685204,Taxolog Inc.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00685204
Kaposi's Sarcoma,NCT00686842,AIDS Malignancy Consortium,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00686842
Kidney Cancer,NCT04623502,University of Texas Southwestern Medical Center,N/A,Interventional,https://clinicaltrials.gov/show/NCT04623502
Leiomyosarcoma,NCT04624178,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04624178
Mucosal Melanoma,NCT04622566,Beijing Cancer Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04622566
Hodgkin Lymphoma,NCT04621604,Rennes University Hospital,N/A,Interventional,https://clinicaltrials.gov/show/NCT04621604
Sacrococcygeal Teratoma,NCT04623658,Assistance Publique - Hôpitaux de Paris,None,Observational,https://clinicaltrials.gov/show/NCT04623658
Cutaneous T Cell Lymphoma,NCT03932279,Northwestern University,None,Observational,https://clinicaltrials.gov/show/NCT03932279
Kidney Cancer,NCT01120249,Southwest Oncology Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01120249
Mesothelioma,NCT02648763,Mayo Clinic,None,Observational,https://clinicaltrials.gov/show/NCT02648763
Cholangiocarcinoma,NCT02649712,Xuzhou Central Hospital,N/A,Interventional,https://clinicaltrials.gov/show/NCT02649712
Cholangiocarcinoma,NCT03769753,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03769753
Leiomyosarcoma,NCT03761095,PTC Therapeutics,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03761095
Primary Myelofibrosis,NCT03755518,Celgene,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03755518
Hodgkin Lymphoma,NCT03755804,St. Jude Children's Research Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03755804
Kidney Cancer,NCT00489710,University of Nebraska,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00489710
Fallopian Tube Cancer,NCT00483782,Medical Research Council,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00483782
Male Breast Cancer,NCT03240510,Salah Azaïz Cancer Institute,None,Observational,https://clinicaltrials.gov/show/NCT03240510
Mucosal Melanoma,NCT03241186,"Robert R. McWilliams, MD",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03241186
Hodgkin Lymphoma,NCT03242902,The Netherlands Cancer Institute,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03242902
Cutaneous T Cell Lymphoma,NCT03235869,University of Michigan Rogel Cancer Center,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03235869
Hodgkin Lymphoma,NCT01333046,Baylor College of Medicine,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01333046
Hodgkin Lymphoma,NCT01333605,Fudan University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01333605
Uveal Melanoma,NCT01338389,Centre Hospitalier Universitaire de Nice,N/A,Interventional,https://clinicaltrials.gov/show/NCT01338389
Chondrosarcoma,NCT01330966,George Clinical Pty Ltd,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01330966
Adenoid Cystic Carcinoma,NCT00886132,"University Health Network, Toronto",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00886132
Uveal Melanoma,NCT01924923,Greater Houston Retina Research,None,Observational,https://clinicaltrials.gov/show/NCT01924923
Cholangiocarcinoma,NCT01920503,International Group of Endovascular Oncology,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT01920503
Fallopian Tube Cancer,NCT00305838,Mount Vernon Cancer Centre at Mount Vernon Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00305838
Kidney Cancer,NCT00303732,"Daniel George, MD",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00303732
Fallopian Tube Cancer,NCT00303888,Yale University,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00303888
Kidney Cancer,NCT00301847,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00301847
Cholangiocarcinoma,NCT00301379,Washington University School of Medicine,None,Observational,https://clinicaltrials.gov/show/NCT00301379
Kidney Cancer,NCT00301990,Jonsson Comprehensive Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00301990
Kidney Cancer,NCT00303719,"Masonic Cancer Center, University of Minnesota",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00303719
Hodgkin Lymphoma,NCT00301314,Royal Marsden NHS Foundation Trust,None,Observational,https://clinicaltrials.gov/show/NCT00301314
Kidney Cancer,NCT00505310,M.D. Anderson Cancer Center,N/A,Interventional,https://clinicaltrials.gov/show/NCT00505310
Wilms' Tumor,NCT00503893,M.D. Anderson Cancer Center,None,Observational,https://clinicaltrials.gov/show/NCT00503893
Fallopian Tube Cancer,NCT00504257,H. Lee Moffitt Cancer Center and Research Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00504257
Kidney Cancer,NCT02186925,Meir Medical Center,None,Observational,https://clinicaltrials.gov/show/NCT02186925
Cholangiocarcinoma,NCT02181634,"PrECOG, LLC.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02181634
Alveolar Soft Part Sarcoma,NCT02180867,National Cancer Institute (NCI),Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02180867
Primary Myelofibrosis,NCT04173494,"Sierra Oncology, Inc.",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT04173494
Juvenile Myelomonocytic Leukemia,NCT03326921,Fred Hutchinson Cancer Research Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03326921
Fallopian Tube Cancer,NCT01402271,European Organisation for Research and Treatment of Cancer - EORTC,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01402271
Pheochromocytoma,NCT02961491,"Molecular Insight Pharmaceuticals, Inc.",None,Expanded Access,https://clinicaltrials.gov/show/NCT02961491
Kidney Cancer,NCT02964078,H. Lee Moffitt Cancer Center and Research Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02964078
Primary Myelofibrosis,NCT02966353,Novartis Pharmaceuticals,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02966353
Cholangiocarcinoma,NCT02170090,Universitätsklinikum Hamburg-Eppendorf,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02170090
Fallopian Tube Cancer,NCT00693342,Gynecologic Oncology Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00693342
Cholangiocarcinoma,NCT03140007,"Asian Institute of Gastroenterology, India",N/A,Interventional,https://clinicaltrials.gov/show/NCT03140007
Kidney Cancer,NCT01230697,"University of Turin, Italy",None,Observational,https://clinicaltrials.gov/show/NCT01230697
Primary Myelofibrosis,NCT01236638,"Sierra Oncology, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01236638
Pheochromocytoma,NCT04605848,University of Avignon,N/A,Interventional,https://clinicaltrials.gov/show/NCT04605848
Angiosarcoma,NCT04607200,Agenus Inc.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04607200
Hodgkin Lymphoma,NCT04514081,Chinese PLA General Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04514081
Kidney Cancer,NCT04513522,Bristol-Myers Squibb,Phase 4,Interventional,https://clinicaltrials.gov/show/NCT04513522
Hodgkin Lymphoma,NCT04510610,Chinese PLA General Hospital,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT04510610
Angiosarcoma,NCT04518124,The Netherlands Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04518124
Mesothelioma,NCT04515836,University of Chicago,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04515836
Fallopian Tube Cancer,NCT01079832,Case Comprehensive Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01079832
Fallopian Tube Cancer,NCT01074398,Gynecologic Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT01074398
Fallopian Tube Cancer,NCT00382811,"MEI Pharma, Inc.",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00382811
Thymoma,NCT00387868,Valley Health System,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00387868
Kidney Cancer,NCT00243009,OHSU Knight Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00243009
Male Breast Cancer,NCT00244881,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00244881
Dermatofibrosarcoma Protuberans,NCT00243191,Sarcoma Alliance for Research through Collaboration,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00243191
Primary Myelofibrosis,NCT02386800,Novartis Pharmaceuticals,Phase 4,Interventional,https://clinicaltrials.gov/show/NCT02386800
Adrenocortical Carcinoma,NCT00469469,Dartmouth-Hitchcock Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00469469
Kidney Cancer,NCT00467077,California Cancer Consortium,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00467077
Mesothelioma,NCT00469196,AHS Cancer Control Alberta,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00469196
Kidney Cancer,NCT00462982,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00462982
Mesothelioma,NCT04153565,Merck Sharp & Dohme Corp.,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04153565
Primary Myelofibrosis,NCT01787552,Novartis Pharmaceuticals,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01787552
Waldenström's Macroglobulinemia,NCT01788020,University of Ulm,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01788020
Angiosarcoma,NCT01786889,Centre Oscar Lambret,N/A,Interventional,https://clinicaltrials.gov/show/NCT01786889
Primary Myelofibrosis,NCT03952039,Celgene,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03952039
T-cell Lymphoma,NCT03952078,"Corvus Pharmaceuticals, Inc.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03952078
Cholangiocarcinoma,NCT01855724,Hellenic Cooperative Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01855724
T-cell Lymphoma,NCT01854112,Far Eastern Memorial Hospital,None,Observational,https://clinicaltrials.gov/show/NCT01854112
Cholangiocarcinoma,NCT01859169,li xiong,None,Observational,https://clinicaltrials.gov/show/NCT01859169
Cholangiocarcinoma,NCT03377179,RedHill Biopharma Limited,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03377179
Plasma Cell Leukemia,NCT02504359,OHSU Knight Cancer Institute,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02504359
Hodgkin Lymphoma,NCT02505269,Massachusetts General Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02505269
Plasma Cell Leukemia,NCT02506959,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02506959
Hodgkin Lymphoma,NCT03843294,Catherine Bollard,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03843294
Gliosarcoma,NCT03843814,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,N/A,Interventional,https://clinicaltrials.gov/show/NCT03843814
Cholangiocarcinoma,NCT04243057,Beijing Tsinghua Chang Gung Hospital,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT04243057
Fallopian Tube Cancer,NCT00748527,Cancer Research UK,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00748527
Kidney Cancer,NCT00743236,Wake Forest University Health Sciences,N/A,Interventional,https://clinicaltrials.gov/show/NCT00743236
Kidney Cancer,NCT00747305,Harry Drabkin,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00747305
Mesothelioma,NCT01445392,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01445392
Hodgkin Lymphoma,NCT01447056,Baylor College of Medicine,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01447056
Primary Myelofibrosis,NCT01445769,Incyte Corporation,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01445769
Leiomyosarcoma,NCT01442662,UNICANCER,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01442662
Adrenocortical Carcinoma,NCT00777244,"University of Turin, Italy",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00777244
Cholangiocarcinoma,NCT00779454,Vejle Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00779454
Male Breast Cancer,NCT00071942,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00071942
Kidney Cancer,NCT00073879,Baylor College of Medicine,N/A,Interventional,https://clinicaltrials.gov/show/NCT00073879
Fallopian Tube Cancer,NCT00075712,Royal College of Obstetricians and Gynecologists,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00075712
Kidney Cancer,NCT00077129,Eastern Cooperative Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00077129
Kidney Cancer,NCT00075348,National Institutes of Health Clinical Center (CC),None,Observational,https://clinicaltrials.gov/show/NCT00075348
Kidney Cancer,NCT00075660,NCIC Clinical Trials Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00075660
Kidney Cancer,NCT00072046,Alliance for Clinical Trials in Oncology,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00072046
Fallopian Tube Cancer,NCT00072267,"University Health Network, Toronto",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00072267
Mesothelioma,NCT02716272,Intergroupe Francophone de Cancerologie Thoracique,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02716272
Cholangiocarcinoma,NCT02232932,Assistance Publique - Hôpitaux de Paris,N/A,Interventional,https://clinicaltrials.gov/show/NCT02232932
Cholangiocarcinoma,NCT00907413,Weill Medical College of Cornell University,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00907413
Kidney Cancer,NCT00900042,Southwest Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT00900042
Fallopian Tube Cancer,NCT00903630,"Masonic Cancer Center, University of Minnesota",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00903630
Kidney Cancer,NCT00908739,Case Comprehensive Cancer Center,None,Observational,https://clinicaltrials.gov/show/NCT00908739
Kidney Cancer,NCT00900536,Medical Research Council,None,Observational,https://clinicaltrials.gov/show/NCT00900536
Thymoma,NCT03193437,Georgetown University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03193437
Juvenile Myelomonocytic Leukemia,NCT03190915,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03190915
Primary Myelofibrosis,NCT03194542,Celgene,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03194542
Parathyroid Carcinoma,NCT03280264,"Kyowa Kirin Co., Ltd.",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03280264
Thymoma,NCT03288662,Military Hospital 103,N/A,Interventional,https://clinicaltrials.gov/show/NCT03288662
Kidney Cancer,NCT01497444,Alliance for Clinical Trials in Oncology,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01497444
Fallopian Tube Cancer,NCT01493505,Amgen,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01493505
Male Breast Cancer,NCT01493310,University of Chicago,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01493310
Uveal Melanoma,NCT01430416,Novartis Pharmaceuticals,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01430416
Cholangiocarcinoma,NCT01439698,Weill Medical College of Cornell University,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT01439698
Uveal Melanoma,NCT01438658,Hadassah Medical Organization,None,Observational,https://clinicaltrials.gov/show/NCT01438658
Cholangiocarcinoma,NCT01439685,Weill Medical College of Cornell University,None,Observational,https://clinicaltrials.gov/show/NCT01439685
Juvenile Myelomonocytic Leukemia,NCT01824693,Children's Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01824693
Hodgkin Lymphoma,NCT01820117,St. Jude Children's Research Hospital,None,Observational,https://clinicaltrials.gov/show/NCT01820117
Cholangiocarcinoma,NCT01868490,Siriraj Hospital,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01868490
Hodgkin Lymphoma,NCT01868451,Memorial Sloan Kettering Cancer Center,N/A,Interventional,https://clinicaltrials.gov/show/NCT01868451
Male Breast Cancer,NCT01868503,Stanford University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01868503
Thymoma,NCT03466827,Morten Mau-Soerensen,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03466827
Thymic Carcinoma,NCT03463460,Dwight Owen,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03463460
Fallopian Tube Cancer,NCT00652899,"Masonic Cancer Center, University of Minnesota",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00652899
Fallopian Tube Cancer,NCT00653328,Vanderbilt-Ingram Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00653328
Kidney Cancer,NCT00656734,Bristol-Myers Squibb,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00656734
Mesothelioma,NCT00651456,Intergroupe Francophone de Cancerologie Thoracique,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00651456
Cholangiocarcinoma,NCT00653978,Changhai Hospital,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00653978
Kidney Cancer,NCT00704938,National Institutes of Health Clinical Center (CC),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00704938
Fallopian Tube Cancer,NCT00702299,University of Arizona,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00702299
Mesothelioma,NCT01604005,Brynn Chappell,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01604005
Cholangiocarcinoma,NCT04256980,Innovent Biologics (Suzhou) Co. Ltd.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04256980
Cholangiocarcinoma,NCT04306367,Georgetown University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04306367
Cholangiocarcinoma,NCT04304781,Danielle Kim Turgeon,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04304781
Cholangiocarcinoma,NCT04301999,First People's Hospital of Hangzhou,N/A,Interventional,https://clinicaltrials.gov/show/NCT04301999
Fallopian Tube Cancer,NCT00562640,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00562640
Adrenocortical Carcinoma,NCT00568139,University of Wuerzburg,None,Observational,https://clinicaltrials.gov/show/NCT00568139
Fallopian Tube Cancer,NCT00569673,Gynecologic Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00569673
Pleuropulmonary Blastoma,NCT00565903,"D. Ashley Hill, M.D.",None,Observational,https://clinicaltrials.gov/show/NCT00565903
T-Cell Lymphoma,NCT03021057,The University of Hong Kong,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03021057
Uveal Melanoma,NCT03022565,University of Miami,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03022565
Gliosarcoma,NCT03020602,Seema Nagpal,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03020602
Gliosarcoma,NCT03020017,Northwestern University,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03020017
Hodgkin Lymphoma,NCT02115126,"David Rizzieri, MD",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02115126
Adrenocortical Carcinoma,NCT00457587,University of Wuerzburg,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT00457587
Fallopian Tube Cancer,NCT00459290,Gynecologic Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00459290
Adrenocortical Carcinoma,NCT00453674,University of Wuerzburg,None,Observational,https://clinicaltrials.gov/show/NCT00453674
Kidney Cancer,NCT00459875,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00459875
Pheochromocytoma,NCT00458952,"Molecular Insight Pharmaceuticals, Inc.",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00458952
Kidney Cancer,NCT00459979,Case Comprehensive Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00459979
Uveal Melanoma,NCT00459849,Barnes Retina Institute,N/A,Interventional,https://clinicaltrials.gov/show/NCT00459849
Kidney Cancer,NCT00458484,Case Comprehensive Cancer Center,N/A,Interventional,https://clinicaltrials.gov/show/NCT00458484
Adrenocortical Carcinoma,NCT00453895,University of Wuerzburg,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00453895
Cholangiocarcinoma,NCT03603834,Khon Kaen University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03603834
Mucosal Melanoma,NCT03602547,AnewPharma,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03602547
Hodgkin Lymphoma,NCT03602131,Sichuan University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03602131
Kidney Cancer,NCT01894607,M.D. Anderson Cancer Center,N/A,Interventional,https://clinicaltrials.gov/show/NCT01894607
Adrenocortical Carcinoma,NCT01898715,"Millendo Therapeutics, Inc.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01898715
Pancreatic Neuroendocrine Tumor,NCT03741517,Uppsala University,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT03741517
Fallopian Tube Cancer,NCT00014690,AstraZeneca,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00014690
Kidney Cancer,NCT00016939,Southwest Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00016939
Kidney Cancer,NCT00019955,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00019955
Fallopian Tube Cancer,NCT00019552,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00019552
Kidney Cancer,NCT00012337,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00012337
Kidney Cancer,NCT00014183,"University of Maryland, Baltimore",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00014183
Fallopian Tube Cancer,NCT00017017,Memorial Sloan Kettering Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00017017
Kidney Cancer,NCT00014131,"Caladrius Biosciences, Inc.",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00014131
Primary Myelofibrosis,NCT00015821,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00015821
Kidney Cancer,NCT00017329,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00017329
Fallopian Tube Cancer,NCT00019461,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00019461
Male Breast Cancer,NCT00017394,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00017394
Kidney Cancer,NCT00018941,National Cancer Institute (NCI),Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00018941
Kidney Cancer,NCT00011973,Barbara Ann Karmanos Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00011973
Fallopian Tube Cancer,NCT00012090,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00012090
Thymoma,NCT00010257,Eastern Cooperative Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00010257
Fallopian Tube Cancer,NCT00010179,NCIC Clinical Trials Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00010179
Wilms' Tumor,NCT00011414,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00011414
Hodgkin Lymphoma,NCT00013533,National Cancer Institute (NCI),Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00013533
Fallopian Tube Cancer,NCT00390234,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00390234
Kidney Cancer,NCT00392821,"SCRI Development Innovations, LLC",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00392821
Waldenström's Macroglobulinemia,NCT00398710,AEterna Zentaris,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00398710
Hodgkin Lymphoma,NCT00392314,Rambam Health Care Campus,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00392314
Hodgkin Lymphoma,NCT02684292,Merck Sharp & Dohme Corp.,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02684292
Waldenström's Macroglobulinemia,NCT03697356,Kosin University Gospel Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03697356
Adenoid Cystic Carcinoma,NCT03691207,"Ayala Pharmaceuticals, Inc,",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03691207
Pleuropulmonary Blastoma,NCT01247597,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT01247597
Cholangiocarcinoma,NCT01247337,Dorte Nielsen,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01247337
Ependymoma,NCT01247922,OSI Pharmaceuticals,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01247922
Cutaneous T Cell Lymphoma,NCT02192021,"Falo, Louis, MD",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02192021
Hodgkin Lymphoma,NCT02191930,University of Cologne,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02191930
Kidney Cancer,NCT03542565,"Ceevra, Inc.",N/A,Interventional,https://clinicaltrials.gov/show/NCT03542565
Hodgkin Lymphoma,NCT03540849,"University Hospital, Caen",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03540849
Fallopian Tube Cancer,NCT00522301,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00522301
Kidney Cancer,NCT04222374,"University Hospital, Bordeaux",None,Observational,https://clinicaltrials.gov/show/NCT04222374
Primary Myelofibrosis,NCT02806375,St. Petersburg State Pavlov Medical University,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02806375
Cholangiocarcinoma,NCT04059562,RWTH Aachen University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04059562
Mesothelioma,NCT04056026,ProgenaBiome,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04056026
Hodgkin Lymphoma,NCT02362997,Dana-Farber Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02362997
Thymic Carcinoma,NCT02364076,Georgetown University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02364076
